Loop 	Time(sec) 	Checksum
 s000	     1.464	512075584.000000
 s111	     1.880	32000.410156
s1111	     2.091	16005.821289
 s112	     3.283	84616.656250
s1112	     2.394	32001.642578
 s113	     3.880	32000.642578
s1113	     6.394	32001.642578
 s114	     3.051	919.856201
 s115	    19.528	31745.953125
s1115	     4.335	0.065536
 s116	    13.159	32000.000000
 s118	     3.585	84488.515625
 s119	     1.275	86338.984375
s1119	     1.238	119099.375000
 s121	     2.409	32009.027344
 s122	     0.825	196490.531250
 s123	     3.109	32003.285156
 s124	     1.632	32001.642578
 s125	     0.867	131072.000000
 s126	     1.116	66955.132812
 s127	     1.538	32003.285156
 s128	     2.622	80000.000000
 s131	     4.015	32009.027344
 s132	     2.867	65538.562500
 s141	     3.616	32487234.000000
 s151	     4.015	32009.027344
 s152	     3.607	152207.562500
 s161	     2.429	64002.054688
s1161	     4.794	64002.460938
 s162	     1.004	32009.023438
 s171	     0.799	196500.265625
 s172	     1.252	196500.265625
 s173	     3.678	32001.626953
 s174	     3.669	32001.626953
 s175	     0.713	32009.023438
 s176	     0.657	32063.902344
 s211	     4.811	63983.308594
 s212	     7.418	132018.859375
s1213	     3.424	132016.171875
 s221	     3.205	1543684096.000000
s1221	     0.801	630439296.000000
 s222	     1.601	32000.000000
 s231	     0.583	119107.445312
 s232	     2.407	65536.000000
s1232	     6.591	33956.261719
 s233	    24.487	504911.625000
s2233	    11.348	337652.781250
 s235	     5.947	160024.031250
 s241	     8.890	64000.000000
 s242	     1.922	1535966208.000000
 s243	     5.377	810659.437500
 s244	     5.784	70110.828125
s1244	     5.331	108527.601562
s2244	     1.489	70110.859375
 s251	     3.887	32004.367188
s1251	     6.214	396498.687500
s2251	     3.697	2.635389
s3251	     4.879	12.595579
 s252	     3.198	63999.000000
 s253	     4.846	3200845824.000000
 s254	    12.788	32000.000000
 s255	     7.417	31953.501953
 s256	     1.518	66207.828125
 s257	     1.136	163072.000000
 s258	     0.052	14.652779
 s261	     3.530	261013.968750
 s271	    12.898	689788.562500
 s272	     3.360	64000.000000
 s273	    10.687	99055.859375
 s274	     4.818	3201031680.000000
 s275	     1.522	65536.000000
s2275	     3.805	65536.000000
 s276	     6.120	689788.562500
 s277	     3.358	32000.000000
 s278	     5.788	64012.589844
 s279	     3.457	64014.289062
s1279	     1.906	64014.289062
s2710	     4.554	96003.281250
s2711	    12.891	689788.562500
s2712	    13.833	689788.562500
 s281	     4.289	32000.000000
s1281	     6.313	inf
 s291	     8.004	32000.000000
 s292	     3.827	31953.501953
 s293	     6.723	31999.998047
s2101	     0.525	1704092.000000
s2102	     8.343	256.000000
s2111	    11.261	34544940.000000
 s311	     7.995	10.950721
s31111	     1.671	10.950721
 s312	     7.997	1.030869
 s313	     4.015	1.644824
 s314	     3.998	1.000000
 s315	     3.204	54857.000000
 s316	     4.002	0.000031
 s317	     1.995	0.000000
 s318	     2.386	32002.000000
 s319	     3.190	43.802895
s3110	     2.734	514.000000
s13110	     2.733	514.000000
s3111	     0.400	10.950724
s3112	     3.203	1.644725
s3113	     3.460	2.000000
 s321	     6.405	32000.000000
 s322	     4.048	32000.000000
 s323	     3.709	146472.421875
 s331	     0.956	32000.000000
 s332	     3.891	-1.000000
 s341	     3.200	10.950721
 s342	     3.414	10.950721
 s343	     0.771	1567.932129
 s351	     4.957	25606707200.000000
s1351	     6.418	32008.869141
 s352	    12.790	1.644808
 s353	     2.406	3200838400.000000
 s421	     2.827	32009.023438
s1421	     3.201	16000.000000
 s422	     7.789	257.660706
 s423	     2.744	439.621765
 s424	     2.744	822.364014
 s431	     6.590	1674287.625000
 s441	     3.162	196500.265625
 s442	     3.748	114244.632812
 s443	     3.052	361034.031250
 s451	     3.431	32007.898438
 s452	     4.810	32511.939453
 s453	     1.648	21.901442
 s471	     0.791	64004.925781
 s481	     5.062	196500.265625
 s482	     3.862	196500.265625
 s491	     3.275	32001.640625
s4112	     3.255	1127128.875000
s4113	     3.204	32001.640625
s4114	     3.880	32000.000000
s4115	     3.373	1.038636
s4116	     2.625	0.753264
s4117	     3.460	32002.205078
s4121	     0.880	196500.265625
   va	     6.496	1.644725
  vag	     6.190	1.644725
  vas	     7.711	1.644725
  vif	     3.198	1.644725
  vpv	     6.619	1642244.500000
  vtv	     6.598	32000.000000
vpvtv	     3.967	689788.562500
vpvts	     0.801	175234766340096.000000
vpvpv	     3.512	1.644725
vtvtv	     3.513	32000.000000
vsumr	     7.997	10.950724
vdotr	     8.030	1.644824
 vbor	     0.323	31924.046875
