Loop 	Time(sec) 	Checksum
 s000	     1.028	512080000.000000
 s111	     1.676	32000.410156
s1111	     9.002	16005.821289
 s112	     2.783	84617.031250
s1112	     1.559	32001.642578
 s113	     2.452	32000.642578
s1113	     5.163	32001.642578
 s114	     3.086	919.869446
 s115	    14.650	31745.953125
s1115	     2.530	0.065530
 s116	     9.445	32000.000000
 s118	     2.107	85077.156250
 s119	     1.151	86339.039062
s1119	     0.940	119100.539062
 s121	     1.972	32009.031250
 s122	     3.454	196490.921875
 s123	     2.671	32003.289062
 s124	     1.341	32001.642578
 s125	     0.854	131072.000000
 s126	     1.102	66954.554688
 s127	     1.581	32003.289062
 s128	     3.632	80000.000000
 s131	     3.279	32009.031250
 s132	     1.728	65538.562500
 s141	     3.537	32487048.000000
 s151	     3.380	32009.031250
 s152	     1.588	152207.234375
 s161	     1.752	64002.054688
s1161	     6.740	64002.464844
 s162	     0.913	32009.031250
 s171	     0.660	196491.500000
 s172	     2.466	196491.500000
 s173	     4.641	32001.638672
 s174	     3.235	32001.638672
 s175	     0.658	32009.031250
 s176	     0.891	32063.833984
 s211	     6.511	63983.187500
 s212	     5.322	132011.171875
s1213	     3.442	132022.609375
 s221	     3.204	1543683456.000000
s1221	     0.801	630442880.000000
 s222	     1.601	32000.000000
 s231	    10.850	119100.539062
 s232	     2.441	65536.000000
s1232	     6.662	33957.476562
 s233	    24.324	504912.750000
s2233	    11.511	337653.000000
 s235	    21.841	160023.984375
 s241	     7.835	64000.000000
 s242	     2.562	1535954688.000000
 s243	     1.612	810625.625000
 s244	     5.823	70104.843750
s1244	     5.347	108499.296875
s2244	     1.453	70105.070312
 s251	     3.874	32004.369141
s1251	     6.094	396498.812500
s2251	     3.920	2.635674
s3251	     2.145	12.595595
 s252	     0.833	63999.000000
 s253	     5.075	3200008704.000000
 s254	     2.947	32000.000000
 s255	     1.065	31968.632812
 s256	     1.445	66207.531250
 s257	     1.225	163072.000000
 s258	     0.087	14.652788
 s261	     3.541	260998.718750
 s271	    17.188	689754.750000
 s272	     3.196	64000.000000
 s273	     3.091	99052.859375
 s274	     4.808	3200196096.000000
 s275	     1.508	65536.000000
s2275	    15.884	65536.000000
 s276	     6.971	689754.750000
 s277	     1.238	32000.000000
 s278	     3.257	64012.589844
 s279	     1.622	64014.289062
s1279	     1.346	64014.289062
s2710	     2.004	96003.281250
s2711	     8.916	689754.750000
s2712	     8.968	689754.750000
 s281	     3.215	32000.000000
s1281	     4.666	inf
 s291	     2.429	32000.000000
 s292	     1.614	31968.632812
 s293	     1.052	31999.998047
s2101	     0.428	1704092.000000
s2102	     6.131	256.000000
s2111	    11.130	34545068.000000
 s311	     3.988	10.950724
s31111	     0.501	10.950724
 s312	     3.988	1.030928
 s313	     2.245	1.644861
 s314	     1.994	1.000000
 s315	     3.235	54857.000000
 s316	     1.996	0.000031
 s317	     0.117	0.000000
 s318	     1.602	32002.000000
 s319	     2.587	43.802902
s3110	     2.563	514.000000
s13110	     2.563	514.000000
s3111	     0.200	10.950724
s3112	     3.202	1.644725
s3113	     1.608	2.000000
 s321	     6.404	32000.000000
 s322	     4.805	32000.000000
 s323	     3.203	146478.015625
 s331	     1.414	32000.000000
 s332	     1.042	-1.000000
 s341	     1.609	10.950724
 s342	     1.809	10.950724
 s343	     0.724	1567.809570
 s351	    14.431	25600002048.000000
s1351	     4.765	32010.578125
 s352	     9.636	1.644885
 s353	     1.264	3200001536.000000
 s421	     2.034	32009.031250
s1421	     2.002	16000.000000
 s422	     4.069	257.701355
 s423	     1.989	439.681580
 s424	     2.074	822.355896
 s431	     4.947	1674250.250000
 s441	     3.754	196491.500000
 s442	     2.205	114240.234375
 s443	     1.667	361016.437500
 s451	     2.681	32009.609375
 s452	     2.396	32512.019531
 s453	     0.778	21.901447
 s471	     0.668	64004.929688
 s481	     2.079	196491.500000
 s482	     3.222	196491.500000
 s491	     2.106	32001.642578
s4112	     1.728	1127134.875000
s4113	     1.767	32001.642578
s4114	     3.958	32000.000000
s4115	     3.261	1.038636
s4116	     2.598	0.753264
s4117	     1.647	32002.207031
s4121	     0.925	196491.500000
   va	     3.234	1.644861
  vag	     4.124	1.644863
  vas	     4.386	1.644862
  vif	     3.563	1.644861
  vpv	     6.174	1642394.125000
  vtv	     4.932	32000.000000
vpvtv	     2.625	689754.750000
vpvts	     0.477	175253691039744.000000
vpvpv	     2.625	1.644861
vtvtv	     2.623	32000.000000
vsumr	     3.989	10.950724
vdotr	     4.486	1.644861
 vbor	     0.225	31924.046875
